word,window,sentence,dependency
car,,,
,touring, racing, ('dealership'; 'compmod'; 'TO-ME')
,armoured, driver, ('parking'; 'compmod'; 'TO-ME')
,accident, lap, ('wash'; 'compmod'; 'TO-ME')
,armored, motor, ('accident'; 'compmod'; 'TO-ME')
,rental, accident, ('truck'; 'conj'; 'FROM-ME')
,luxury, truck, ('armoured'; 'amod'; 'FROM-ME')
,crash, formula, ('concept'; 'compmod'; 'FROM-ME')
,parking, crash, ('race'; 'dobj'; 'TO-ME')
,wash, ford, ('crash'; 'compmod'; 'TO-ME')
,racing, race, ('bomb'; 'compmod'; 'TO-ME')
,funny, drive, ('hit'; 'adpobj'; 'TO-ME'; 'adpmod'; 'by')
,cable, wheel, ('armored'; 'amod'; 'FROM-ME')
,sprint, passenger, ('ferry'; 'compmod'; 'TO-ME')
,freight, vehicle, ('race'; 'amod'; 'FROM-ME')
,dealer, stock, ('drive'; 'dobj'; 'TO-ME')
,stock, engine, ('formula'; 'compmod'; 'FROM-ME')
,motor, sport, ('drive'; 'partmod'; 'FROM-ME')
,ferry, speed, ('racing'; 'compmod'; 'TO-ME')
,race, championship, ('luxury'; 'compmod'; 'FROM-ME')
,driver, front, ('cable'; 'compmod'; 'FROM-ME')
bus,,,
,interchange, transit, ('tram'; 'conj'; 'TO-ME')
,rout, interchange, ('Éireann'; 'compmod'; 'TO-ME')
,shuttle, terminal, ('subway'; 'conj'; 'TO-ME')
,terminal, taxi, ('stop'; 'compmod'; 'TO-ME')
,depot, depot, ('rout'; 'nsubj'; 'TO-ME')
,route, route, ('serial'; 'compmod'; 'FROM-ME')
,commuter, metro, ('terminus'; 'compmod'; 'TO-ME')
,operator, transport, ('route'; 'nsubj'; 'TO-ME')
,transit, terminus, ('interchange'; 'compmod'; 'TO-ME')
,shelter, passenger, ('accessible'; 'adpobj'; 'TO-ME'; 'adpmod'; 'by')
,stop, truck, ('rail'; 'conj'; 'FROM-ME')
,service, operator, ('shelter'; 'compmod'; 'TO-ME')
,serial, stop, ('route'; 'compmod'; 'TO-ME')
,hybrid, transportation, ('terminal'; 'compmod'; 'TO-ME')
,parking, service, ('rail'; 'conj'; 'TO-ME')
,rapid, operate, ('stand'; 'compmod'; 'TO-ME')
,terminus, connect, ('passenger'; 'compmod'; 'TO-ME')
,station, rail, ('depot'; 'compmod'; 'TO-ME')
,motor, station, ('transit'; 'compmod'; 'TO-ME')
,driver, airport, ('board'; 'dobj'; 'TO-ME')
hospital,,,
,psychiatric, psychiatric, ('doctor'; 'adpobj'; 'TO-ME'; 'adpmod'; 'at')
,bed, clinic, ('rush'; 'adpobj'; 'TO-ME'; 'adpmod'; 'to')
,hopkins, bed, ('teaching'; 'amod'; 'FROM-ME')
,nh, medical, ('psychiatric'; 'amod'; 'FROM-ME')
,mercy, surgery, ('bed'; 'compmod'; 'TO-ME')
,teaching, patient, ('stay'; 'compmod'; 'TO-ME')
,acute, bombay, ('hopkins'; 'compmod'; 'FROM-ME')
,mental, care, ('teaching'; 'compmod'; 'FROM-ME')
,memorial, teaching, ('rush'; 'adpobj'; 'TO-ME')
,presbyterian, cancer, ('transport'; 'adpobj'; 'TO-ME'; 'adpmod'; 'to')
,admission, health, ('take'; 'adpobj'; 'TO-ME'; 'adpmod'; 'to')
,rush, medicine, ('patient'; 'adpobj'; 'TO-ME')
,general, emergency, ('memorial'; 'compmod'; 'FROM-ME')
,christ, doctor, ('admit'; 'adpobj'; 'TO-ME'; 'adpmod'; 'to')
,recover, dr, ('die'; 'adpobj'; 'TO-ME'; 'adpmod'; 'at')
,charity, memorial, ('eye'; 'compmod'; 'FROM-ME')
,massachusetts, facility, ('general'; 'compmod'; 'FROM-ME')
,veteran, trust, ('visit'; 'adpobj'; 'TO-ME'; 'adpmod'; 'in')
,naval, treatment, ('doctor'; 'adpobj'; 'TO-ME')
,nearby, tamil, ('massachusetts'; 'compmod'; 'FROM-ME')
hotel,,,
,hilton, resort, ('casino'; 'conj'; 'FROM-ME')
,luxury, luxury, ('lobby'; 'compmod'; 'TO-ME')
,savoy, casino, ('hilton'; 'compmod'; 'FROM-ME')
,plaza, plaza, ('plaza'; 'compmod'; 'FROM-ME')
,dining, restaurant, ('resort'; 'conj'; 'FROM-ME')
,lobby, inn, ('savoy'; 'compmod'; 'FROM-ME')
,paramount, room, ('neutral'; 'compmod'; 'FROM-ME')
,casino, tourist, ('luxury'; 'compmod'; 'FROM-ME')
,room, chain, ('restaurant'; 'conj'; 'FROM-ME')
,riverside, guest, ('resort'; 'compmod'; 'FROM-ME')
,chain, shop, ('stay'; 'adpobj'; 'TO-ME'; 'adpmod'; 'at')
,windsor, palace, ('palace'; 'compmod'; 'FROM-ME')
,resort, purchase, ('room'; 'compmod'; 'TO-ME')
,grand, stay, ('convert'; 'adpobj'; 'TO-ME'; 'adpmod'; 'into')
,palace, tower, ('milk'; 'compmod'; 'FROM-ME')
,expensive, owner, ('chain'; 'compmod'; 'TO-ME')
,midland, bar, ('restaurant'; 'adpobj'; 'TO-ME')
,milk, grand, ('chain'; 'adpobj'; 'TO-ME'; 'adpmod'; 'of')
,ace, historic, ('shop'; 'conj'; 'TO-ME')
,nearby, spring, ('purchase'; 'dobj'; 'TO-ME')
gun,,,
