,window,,sentence,,dependency
1,violin,1, violin,1, violin
1,cello,1, cello,1, cello
1,clarinet,1, clarinet,1, flute
1,solo,1, flute,1, guitar
1,sonata,1, concerto,1, clarinet
1,flute,1, sonata,1, bass
1,concerto,1, trumpet,1, viola
1,op,1, viola,0, keyboard
0,keyboard,1, percussion,0, horn
1,string,1, saxophone,1, drum
1,bass,1, op,1, organ
1,trumpet,1, orchestra,1, percussion
1,guitar,1, harp,1, orchestra
1,saxophone,1, soloist,1, instrument
1,viola,1, quartet,1, trumpet
1,organ,1, ensemble,1, music
0,horn,1, tenor,1, saxophone
1,lesson,1, instrument,1, harp
1,classical,1, bass,1, solo
1,recital,1, soprano,0, choir
