words,bow5,dependency
car,,
,racing, adpmod:byI_commute
,mygale, amod_street-legal
,bmw, conj_hovercraft
,driver, amod_newly-designed
,motor, amod_liter
,cars, amod_late-model
,dealership, poss_brink
,parked, compmod_m1918
,rear-drive, adpmod:fromI_tossed
,accident, compmod_high-wing
,mid-engined, poss_waltrip
,dealerships, adpmod:byI_escapes
,touring, amod_requisitioned
,champ, compmodI_rallying
,race, nsubjI_drivers
,toyota, compmod_rigid
,rental, adpmod:insideI_placing
,suv, compmod_hilux
,truck, apposI_bike
,auto, poss_matty
bus,,
,buses, adpmod:byI_commute
,ksrtc, amod_east-bound
,samtrans, conj_hovercraft
,seabus, adpmod:onI_ridership
,smrt, compmod_airlink
,connexxion, compmod_operates
,inter-city, conj_busses
,intercity, compmod_xpt
,msrtc, compmod_yrt
,transit, dobjI_onboard
,double-decker, amod_20-bit
,tram, compmod_citybus
,commuter, amod_requisitioned
,apsrtc, adpmod:between_belfast
,services, amod_street-legal
,routes, compmod_n11
,hiroden, compmodI_hookups
,metrobus, amod_newly-designed
,kmb, adpmod:like_express
,fixed-route, compmod_weka
hospital,,
,bethlem, compmod_siriraj
,moorfields, compmod_safdarjung
,psychiatric, adpmod:of_nuova
,hospitals, compmod_strangeways
,infirmary, amod_maximum-security
,foundling, compmod_armley
,siriraj, compmod_combermere
,maudsley, compmod_fresnes
,westmead, compmod_eastview
,bellevue, compmod_desloge
,convalescent, compmod_monklands
,polyclinic, compmod_nudgee
,maternity, compmod_longmeadow
,sunnybrook, compmod_edgemont
,soroka, compmod_southridge
,clinic, compmod_archbold
,mulago, compmod_shinagawa
,in-patient, compmod_eppley
,dispensary, compmod_nantong
,deaconess, compmod_ravenscourt
,hotel,
,hotels, compmod_nymphenburg
,westin, compmod_dolmabahçe
,radisson, compmod_whitwell
,kempinski, conj_guesthouses
,sofitel, compmod_ravenscourt
,ramada, compmod_hanworth
,biltmore, compmod_siriraj
,ritz-carlton, compmod_strangeways
,sheraton, compmod_safdarjung
,marriott, compmod_armley
,waldorf-astoria, adpmod:onI_renovations
,five-star, compmod_manresa
,5-star, rcmod_renting
,crowne, compmod_portchester
,doubletree, compmod_eastview
,restaurant, compmod_combermere
,hyatt, adpmod:nearI_parked
,hilton, compmod_kirkdale
,luxury, compmod_edgemont
,luxurious, compmod_blackness
gun,,
,guns, num_88mm
,submachine, adpmod:withI_rearmed
,machine, compmod_m1918
,gatling, compmodI_fellatio
,sub-machine, num_60mm
,howitzer, adpmod:ofI_hilt
,rifle, compmod_karabiner
,40mm, compmod_t-55
,11-inch, adpmod:forI_cartridges
,emplacements, compmodI_cwt
,muzzle-loading, compmod_varmint
,20mm, amod_newly-designed
,75mm, conjI_turban
,smoothbore, rcmod_crushes
,turrets, adpmod:fromI_bled
,recoilless, amod_point-and-shoot
,5-inch, compmod_mlrs
,turret, compmod_bvr
,breech-loading, compmodI_set-ups
,anti-aircraft, adpmod:withI_pistol
bomb,,
,bombs, num_88mm
,detonated, adpmod:on_pentagon
,detonates, compmodI_splashes
,detonate, adpmod:byI_unharmed
,atomic, adpmod:withI_rearmed
,exploded, compmod_single-car
,detonating, compmod_m1918
,bomber, compmod_phishing
,bombing, compmodI_fellatio
,blast, rcmod_bursts
,bombings, compmod_decapitation
,booby-trap, adpmod:over_berlin
,landmine, num_60mm
,v-1, compmod_nega
,hiroshima, rcmod_crushes
,nuclear, adpmod:at_wonsan
,laser-guided, conjI_hellcat
,explodes, compmod_bvr
,blasts, compmod_econoline
,detonation, compmod_t-55
horse,,
,horses, amod_gaited
,standardbred, nsubjpassI_spooked
,thoroughbred, compmodI_drovers
,trotting, dobjI_shoe
,riding, adpmod:byI_commute
,racing, rcmod_roams
,ridden, poss_quixote
,galloping, compmod_ch-53e
,bred, appos_pony
,gelding, compmod_poitevin
,stud, adpmod:ofI_hilt
,appaloosa, adpmod:byI_escapes
,pommel, compmodI_fillet
,bareback, compmodI_cogburn
,bronc, compmod_beardless
,sired, apposI_bike
,thoroughbreds, compmod_m1918
,friesian, poss_quagmire
,stables, conjI_turban
,aqha, adpmod:byI_foot
fox,,
,vulpes, amod_crab-eating
,news, appos_canadensis
,movietone, compmodI_subchannels
,owned-and-operated, conj_mattel
,nbc, compmod_jacki
,cbs, conjI_raimi
,terrier, conjI_corgan
,affiliate, conjI_leda
,cnn, conj_bluebird
,msnbc, conj_nolte
,abc, conjI_browder
,espn, conj_keeler
,mynetworktv, conjI_steinem
